index;Ranking medalhas paralimpíadas;Países;Ouro paralimpíadas;Prata paralimpíadas;Bronze paralimpíadas;Total medalhas paralimpíadas;NOCCode
0;1;China;96;60;51;207;CHN
1;2;Grã-Bretanha;41;38;45;124;GBR
2;3;Estados Unidos;37;36;31;104;USA
3;4;Atletas da Rússia;36;33;49;118;RUS
4;5;Holanda;25;17;17;59;NED
5;6;Ucrânia;24;47;27;98;UKR
6;7;Brasil;22;20;30;72;BRA
7;8;Austrália;21;29;30;80;AUS
8;9;Itália;14;29;26;69;ITA
9;10;Azerbaijão;14;1;4;19;AZE
10;11;Japão;13;15;23;51;JPN
11;12;Alemanha;13;12;18;43;GER
12;13;Irã;12;11;1;24;IRA
13;14;França;11;15;28;54;FRA
14;15;Espanha;9;15;12;36;ESP
15;16;Uzbequistão;8;5;6;19;UZB
16;17;Polônia;7;6;12;25;POL
17;18;Hungria;7;5;4;16;HUN
18;19;Suíça;7;4;3;14;SUI
19;20;México;7;2;13;22;MEX
20;21;Nova Zelândia;6;3;3;12;NZL
21;22;Israel;6;2;1;9;ISR
22;23;Canadá;5;10;6;21;CAN
23;24;Índia;5;8;6;19;IND
24;25;Tailândia;5;5;8;18;THA
25;26;Eslováquia;5;2;4;11;SVK
26;27;Belarus;5;1;1;7
27;28;Tunísia;4;5;2;11;TUN
28;29;Argélia;4;4;4;12
29;30;Marrocos;4;4;3;11;MAR
30;31;Bélgica;4;3;8;15;BEL
31;32;Irlanda;4;2;1;7;IRL
32;33;Nigéria;4;1;5;10;NGR
33;34;África do Sul;4;1;2;7
34;35;Cuba;4;1;1;6;CUB
35;36;Jordânia;4;0;1;5;JOR
36;37;Colômbia;3;7;14;24;COL
37;38;Venezuela;3;2;2;7;VEN
38;39;Malásia;3;2;0;5;MAS
39;40;Dinamarca;3;1;1;5;DEN
40;41;Coreia do Sul;2;10;12;24;KOR
41;42;Turquia;2;4;9;15;TUR
42;43;Indonésia;2;3;4;9
43;44;República Checa;2;3;3;8;CZE
44;45;Chile;2;3;1;6
45;45;Sérvia;2;3;1;6;SRB
46;47;Noruega;2;0;2;4;NOR
47;48;Cingapura;2;0;0;2
48;49;Áustria;1;5;3;9;AUT
49;50;Suécia;1;5;2;8;SWE
50;51;Grécia;1;3;7;11;GRE
51;52;Cazaquistão;1;3;1;5;KAZ
52;52;Finlândia;1;3;1;5;FIN
53;54;Emirados Árabes Unidos;1;1;1;3
54;55;Costa Rica;1;1;0;2
55;56;Equador;1;0;2;3
56;57;Chipre;1;0;1;2
57;57;Sri Lanka;1;0;1;2
58;59;Etiópia;1;0;0;1;ETH
59;59;Mongólia;1;0;0;1;MGL
60;59;Paquistão;1;0;0;1
61;59;Peru;1;0;0;1
62;63;Argentina;0;5;4;9;ARG
63;64;Egito;0;5;2;7;EGY
64;65;Croácia;0;3;4;7;CRO
65;66;Letônia;0;3;2;5
66;67;Georgia;0;3;0;3;GEO
67;68;Hong Kong;0;2;3;5
68;69;Bulgária;0;2;0;2;BUL
69;70;Iraque;0;1;2;3
70;71;Eslovênia;0;1;1;2;SLO
71;71;Kuwait;0;1;1;2
72;71;Namíbia;0;1;1;2
73;71;Romênia;0;1;1;2;ROM
74;75;Vietnã;0;1;0;1
75;76;Lituânia;0;0;3;3;LTU
76;77;Portugal;0;0;2;2;POR
77;78;Arábia Saudita;0;0;1;1
78;78;Bósnia e Herzegovina;0;0;1;1
79;78;Catar;0;0;1;1;QAT
80;78;El Salvador;0;0;1;1
81;78;Montenegro;0;0;1;1
82;78;Omã;0;0;1;1
83;78;Quênia;0;0;1;1;KEN
84;78;Taipé Chinesa;0;0;1;1
85;78;Uganda;0;0;1;1
86;87;Angola;0;0;0;0
87;87;Armênia;0;0;0;0;ARM
88;87;Aruba;0;0;0;0
89;87;Atletas Refugiados;0;0;0;0
90;87;Bahrein;0;0;0;0;BRN
91;87;Barbados;0;0;0;0;BAH
92;87;Benin;0;0;0;0
93;87;Bermuda;0;0;0;0
94;87;Botsuana;0;0;0;0
95;87;Brunei;0;0;0;0
96;87;Burkina Faso;0;0;0;0
97;87;Burundi;0;0;0;0
98;87;Butão;0;0;0;0
99;87;Cabo Verde;0;0;0;0
100;87;Camarões;0;0;0;0
101;87;Camboja;0;0;0;0
102;87;Congo;0;0;0;0
103;87;Costa do Marfim;0;0;0;0;CIV
104;87;Estônia;0;0;0;0;EST
105;87;Fiji;0;0;0;0;FIJ
106;87;Filipinas;0;0;0;0;PHI
107;87;Gabão;0;0;0;0
108;87;Gâmbia;0;0;0;0
109;87;Gana;0;0;0;0
110;87;Granada;0;0;0;0;GRN
111;87;Guatemala;0;0;0;0
112;87;Guiana;0;0;0;0
113;87;Guiné;0;0;0;0
114;87;Guiné Bissau;0;0;0;0
115;87;Haiti;0;0;0;0
116;87;Honduras;0;0;0;0
117;87;Iêmen;0;0;0;0
118;87;Ilhas Faroe;0;0;0;0
119;87;Ilhas Maurício;0;0;0;0
120;87;Ilhas Salomão;0;0;0;0
121;87;Ilhas Virgens Americanas;0;0;0;0
122;87;Islândia;0;0;0;0
123;87;Jamaica;0;0;0;0;JAM
124;87;Laos;0;0;0;0
125;87;Lesoto;0;0;0;0
126;87;Líbano;0;0;0;0
127;87;Libéria;0;0;0;0
128;87;Líbia;0;0;0;0
129;87;Luxemburgo;0;0;0;0
130;87;Macedônia;0;0;0;0
131;87;Madagascar;0;0;0;0
132;87;Malawi;0;0;0;0
133;87;Maldivas;0;0;0;0
134;87;Mali;0;0;0;0
135;87;Malta;0;0;0;0
136;87;Moçambique;0;0;0;0
137;87;Moldávia;0;0;0;0
138;87;Nepal;0;0;0;0
139;87;Nicáragua;0;0;0;0
140;87;Niger;0;0;0;0
141;87;Palestina;0;0;0;0
142;87;Panamá;0;0;0;0
143;87;Papua Nova Guiné;0;0;0;0
144;87;Paraguai;0;0;0;0
145;87;Porto Rico;0;0;0;0
146;87;Quirguistão;0;0;0;0
147;87;República Centro-Africana;0;0;0;0;RSA
148;87;República Democrática do Congo;0;0;0;0
149;87;República Dominicana;0;0;0;0;DOM
150;87;Ruanda;0;0;0;0
151;87;São Tomé e Príncipe;0;0;0;0
152;87;Senegal;0;0;0;0
153;87;Serra Leoa;0;0;0;0
154;87;Síria;0;0;0;0
155;87;Somália;0;0;0;0
156;87;Tajiquistão;0;0;0;0
157;87;Tanzânia;0;0;0;0
158;87;Togo;0;0;0;0
159;87;Uruguai;0;0;0;0
160;87;Zâmbia;0;0;0;0
161;87;Zimbabuê;0;0;0;0
