Rank;Country;Medals;Population;Population per Medal;NOCCode
1;Liechtenstein;10;36476;3647;LIE
2;Norway;521;5005700;9607;NOR
3;Finland;470;5407040;11504;FIN
4;Sweden;652;9490683;14556;SWE
5;Hungary;498;9962000;20004;HUN
6;Switzerland;344;7870100;22878;SUI
7;Austria;319;8452835;26497;AUT
8;Bahamas;13;353658;27204;BAH
9;Denmark;195;5580516;28618;DEN
10;East Germany;519;16111000;31042;GER
11;Estonia;41;1318005;32146;EST
12;Bulgaria;223;7364570;33024;BUL
13;Jamaica;78;2705827;3469;JAM
14;New Zealand;120;4432620;36938;NZL
15;Netherlands;415;16731770;40317;NED
16;Australia;511;22880619;44776;AUS
17;Cuba;219;11241161;51329;CUB
18;Slovenia;40;2057540;51438;SLO
19;Grenada;2;110821;5541;GRN
20;Romania;307;19042936;62029;ROM
21;Bermuda;1;64237;64237;BER
22;Trinidad and Tobago;19;1317714;69353;TRI
23;Canada;499;34771400;69682;CAN
24;Great Britain;876;62262000;71075;GBR
25;Belgium;154;10951266;71112;BEL
26;Latvia;27;2070371;7668;LAT
27;France;836;65350000;78169;FRA
28;Iceland;4;319575;79893;ISL
29;Germany;992;8183020000;8249012;GER
30;Italy;702;60776531;86576;ITA
31;Czechoslovakia;168;15000000;89285;TCH
32;Belarus;105;9461400;90108;BLR
33;Greece;116;10787690;92997;GRE
34;Croatia;44;4290612;97513;CRO
35;Tonga;1;103036;103036;TGA
36;Mongolia;26;2736800;28338;MGL
37;Virgin Islands;1;106405;106405;ISV
38;Yugoslavia;94;10348473;110090;YUG
39;United States;2827;313382000;110853;USA
40;Netherlands Antilles;2;227049;113524;NED
41;Czech Republic;84;10610947;126320;CZE
42;Poland;304;38501000;126648;POL
43;Lithuania;25;3192800;127712;LTU
44;Luxembourg;4;511800;127950;LUX
45;Georgia;32;4469200;139662;GEO
46;South Korea;334;48580000;145449;KOR
47;Ireland;31;4588252;148008;IRL
48;Slovakia;36;5445324;151259;SVK
49;Armenia;16;3268500;204281;ARM
50;Azerbaijan;44;9111100;207070;AZE
51;Kazakhstan;77;16718000;217116;KAZ
52;Soviet Union;1204;272000000;225913;URS
53;Russian Federation;586;143056383;244123;RUS
54;Japan;497;127650000;256841;JPN
55;Suriname;2;581363;290681;SUR
56;Barbados;1;2870252;287025;BAR
57;West Germany;243;72562666;298611;GER
58;Spain;151;46196278;305935;ESP
59;Bahrain;4;1234571;308642;BRN
60;Uruguay;10;3251526;325152;URU
61;Ukraine;135;45644419;338106;UKR
62;Qatar;5;1699435;339887;QAT
63;Australasia;12;4651848;387654;ANZ
64;Kenya;99;38610097;390;KEN
65;Puerto Rico;9;3725789;413976;PUR
66;North Korea;56;24052231;429504;KOR
67;Portugal;24;10561614;440067;POR
68;Moldova;8;3559500;444937;MDA
69;Serbia;15;7120666;474711;SRB
70;Argentina;74;40117096;542122;ARG
71;Namibia;4;2324000;581;NAM
72;South Africa;86;50586757;588218;RSA
73;Montenegro;1;620029;620029;MNE
74;Guyana;1;784894;784894;GUY
75;Turkey;95;74724269;786571;TUR
76;Djibouti;1;818159;818159;DJI
77;Tunisia;13;10673800;821061;TUN
78;Uzbekistan;35;29123400;832097;UZB
79;Cyprus;1;838897;838897;CYP
80;Fiji;1;868;868;FIJ
81;Israel;9;7859300;873255;ISR
82;Kuwait;4;3582054;895513;KUW
83;Taiwan;24;23234003;968083;TW
84;Singapore;5;5183700;1036740;SGP
85;Lebanon;4;4259000;1064750;LIB
86;Costa Rica;4;4301712;1075428;CRC
87;Iran;68;76309000;1122191;IRA
88;Panama;3;3405813;1135271;PA
89;Mauritius;1;1286051;1286051;MRI
90;Chile;13;17402630;1338663;CHI
91;Dominican Republic;7;9378818;1339831;DOM
92;Morocco;23;32526800;1414208;MAR
93;Brazil;127;192376496;1514775;BRA
94;Gabon;1;1534000;1534000;GAB
95;Ethiopia;53;84320987;1590962;ETH
96;Zimbabwe;8;12754000;1594250;ZIM
97;Mexico;67;112336538;1676664;MEX
98;Colombia;27;46475000;1721296;COL
99;Venezuela;15;27150095;1810006;VEN
100;Kyrgyzstan;3;5477600;1825866;KGZ
101;Kosovo;1;1859203;1859203;KOS
102;Tajikistan;4;7616000;1904000;TJK
103;Botswana;1;2038228;2038228;BOT
104;Macedonia;1;2057284;2057284;MKD
105;Algeria;17;37100000;2182352;ALG
106;Thailand;30;65479453;2182648;THA
107;China;605;1347350000;2227024;CHN
108;Hong Kong;3;7103700;2367900;HKG
109;Malaysia;11;28334135;2575830;MAS
110;Egypt;29;81927000;2825068;EGY
111;Cameroon;5;19406100;3881220;CMR
112;Burundi;2;8038618;4019309;BDI
113;United Arab Emirates;2;8264070;4132035;UAE
114;Uganda;7;32939800;4705685;UGA
115;Haiti;2;10085214;5042607;HAI
116;Eritrea;1;5415000;5415000;ERI
117;Serbia and Montenegro;2;10832545;5416272;SRB
118;Ghana;4;24223431;6055857;GHA
119;Togo;1;6191155;6191155;TOG
120;Jordan;1;6289800;6289800;JOR
121;Paraguay;1;6337127;6337127;PAR
122;Zambia;2;13046508;6523254;ZAM
123;Nigeria;24;162471000;6769625;NGR
124;Côte d'Ivoire;3;21395000;7131666;CIV
125;Syria;3;21532000;7177333;SYR
126;Ecuador;2;14483499;7241749;ECU
127;Peru;4;30135875;7533968;PER
128;Indonesia;30;237641326;7921377;IHO
129;Niger;2;16274738;8137369;NIG
130;Saudi Arabia;3;27136977;9045659;KSA
131;Philippines;10;92337852;9233785;PHI
132;Sri Lanka;2;20653000;10326500;SRI
133;Mozambique;2;23700715;11850357;MOZ
134;Afghanistan;2;24485600;12242800;AFG
135;Senegal;1;12855153;12855153;SEN
136;Guatemala;1;14713763;14713763;GUA
137;Pakistan;10;179309000;17930900;PAK
138;Tanzania;2;43188000;21594000;TAN
139;Vietnam;4;87840000;21960000;VIE
140;Sudan;1;30894000;30894000;SSD
141;Iraq;1;33330000;33330000;IRQ
142;India;28;1241491960;44338998;IND